//
// Keywords for scripts...
//

//WIP Object

1	"Wave 1"
DRACULA3_INTRO_INFO_2	"slp=parch2 bg=fcam2bg parchslpframe=18 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA3_INTRO_INFO_3	"slp=parch2 bg=fcam2bg parchslpframe=19 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA3_INTRO_INFO_4	"slp=parch2 bg=fcam2bg parchslpframe=20 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA3_INTRO_INFO_5	"slp=parch2 bg=fcam2bg parchslpframe=21 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA3_OUTRO_INFO_1	"slp=parch2 bg=fcam2bg parchslpframe=22 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA3_OUTRO_INFO_2	"slp=parch2 bg=fcam2bg parchslpframe=23 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA3_OUTRO_INFO_3	"slp=parch2 bg=fcam2bg parchslpframe=24 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA4_INTRO_INFO_1	"slp=parch2 bg=fcam2bg parchslpframe=25 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA4_INTRO_INFO_2	"slp=parch2 bg=fcam2bg parchslpframe=26 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA4_INTRO_INFO_3	"slp=parch2 bg=fcam2bg parchslpframe=27 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA4_INTRO_INFO_4	"slp=parch2 bg=fcam2bg parchslpframe=28 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA4_INTRO_INFO_5	"slp=parch2 bg=fcam2bg parchslpframe=29 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA4_OUTRO_INFO_1	"slp=parch2 bg=fcam2bg parchslpframe=30 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA4_OUTRO_INFO_2	"slp=parch2 bg=fcam2bg parchslpframe=31 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA4_OUTRO_INFO_3	"slp=parch2 bg=fcam2bg parchslpframe=32 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA5_INTRO_INFO_1	"slp=parch2 bg=fcam2bg parchslpframe=33 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA5_INTRO_INFO_2	"slp=parch2 bg=fcam2bg parchslpframe=34 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA5_INTRO_INFO_3	"slp=parch2 bg=fcam2bg parchslpframe=35 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA5_INTRO_INFO_4	"slp=parch2 bg=fcam2bg parchslpframe=36 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA5_INTRO_INFO_5	"slp=parch2 bg=fcam2bg parchslpframe=37 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA5_OUTRO_INFO_1	"slp=parch2 bg=fcam2bg parchslpframe=38 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA5_OUTRO_INFO_2	"slp=parch2 bg=fcam2bg parchslpframe=39 left=0.15 top=0.15 right=0.85 bottom=0.95"
DRACULA5_OUTRO_INFO_3	"slp=parch2 bg=fcam2bg parchslpframe=40 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI1_INTRO_INFO_1		"slp=parch3 bg=fcam3bg parchslpframe=01 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI1_INTRO_INFO_2		"slp=parch3 bg=fcam3bg parchslpframe=02 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI1_INTRO_INFO_3		"slp=parch3 bg=fcam3bg parchslpframe=03 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI1_INTRO_INFO_4		"slp=parch3 bg=fcam3bg parchslpframe=04 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI1_INTRO_INFO_5		"slp=parch3 bg=fcam3bg parchslpframe=05 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI1_OUTRO_INFO_1		"slp=parch3 bg=fcam3bg parchslpframe=06 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI1_OUTRO_INFO_2		"slp=parch3 bg=fcam3bg parchslpframe=07 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI1_OUTRO_INFO_3		"slp=parch3 bg=fcam3bg parchslpframe=08 left=0.15 top=0.15 right=0.75 bottom=0.95"
BARI2_INTRO_INFO_1		"slp=parch3 bg=fcam3bg parchslpframe=09 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI2_INTRO_INFO_2		"slp=parch3 bg=fcam3bg parchslpframe=10 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI2_INTRO_INFO_3		"slp=parch3 bg=fcam3bg parchslpframe=11 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI2_INTRO_INFO_4		"slp=parch3 bg=fcam3bg parchslpframe=12 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI2_INTRO_INFO_5		"slp=parch3 bg=fcam3bg parchslpframe=13 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI2_OUTRO_INFO_1		"slp=parch3 bg=fcam3bg parchslpframe=14 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI2_OUTRO_INFO_2		"slp=parch3 bg=fcam3bg parchslpframe=15 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI2_OUTRO_INFO_3		"slp=parch3 bg=fcam3bg parchslpframe=16 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI3_INTRO_INFO_1		"slp=parch3 bg=fcam3bg parchslpframe=17 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI3_INTRO_INFO_2		"slp=parch3 bg=fcam3bg parchslpframe=18 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI3_INTRO_INFO_3		"slp=parch3 bg=fcam3bg parchslpframe=19 left=0.15 top=0.15 right=0.73 bottom=0.95"
BARI3_INTRO_INFO_4		"slp=parch3 bg=fcam3bg parchslpframe=20 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI3_INTRO_INFO_5		"slp=parch3 bg=fcam3bg parchslpframe=21 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI3_OUTRO_INFO_1		"slp=parch3 bg=fcam3bg parchslpframe=22 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI3_OUTRO_INFO_2		"slp=parch3 bg=fcam3bg parchslpframe=23 left=0.15 top=0.15 right=0.85 bottom=0.95"
BARI3_OUTRO_INFO_3		"slp=parch3 bg=fcam3bg parchslpframe=24 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA1_INTRO_INFO_1	"slp=parch4 bg=fcam4bg parchslpframe=01 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA1_INTRO_INFO_2	"slp=parch4 bg=fcam4bg parchslpframe=02 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA1_INTRO_INFO_3	"slp=parch4 bg=fcam4bg parchslpframe=03 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA1_OUTRO_INFO_1	"slp=parch4 bg=fcam4bg parchslpframe=04 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA2_INTRO_INFO_1	"slp=parch4 bg=fcam4bg parchslpframe=05 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA2_INTRO_INFO_2	"slp=parch4 bg=fcam4bg parchslpframe=06 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA2_INTRO_INFO_3	"slp=parch4 bg=fcam4bg parchslpframe=07 left=0.15 top=0.15 right=0.75 bottom=0.95"
SFORZA2_OUTRO_INFO_1	"slp=parch4 bg=fcam4bg parchslpframe=08 left=0.25 top=0.15 right=0.85 bottom=0.95"
SFORZA3_INTRO_INFO_1	"slp=parch4 bg=fcam4bg parchslpframe=09 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA3_INTRO_INFO_2	"slp=parch4 bg=fcam4bg parchslpframe=10 left=0.25 top=0.15 right=0.85 bottom=0.95"
SFORZA3_INTRO_INFO_3	"slp=parch4 bg=fcam4bg parchslpframe=11 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA3_OUTRO_INFO_1	"slp=parch4 bg=fcam4bg parchslpframe=12 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA4_INTRO_INFO_1	"slp=parch4 bg=fcam4bg parchslpframe=13 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA4_INTRO_INFO_2	"slp=parch4 bg=fcam4bg parchslpframe=14 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA4_INTRO_INFO_3	"slp=parch4 bg=fcam4bg parchslpframe=15 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA4_OUTRO_INFO_1	"slp=parch4 bg=fcam4bg parchslpframe=16 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA5_INTRO_INFO_1	"slp=parch4 bg=fcam4bg parchslpframe=17 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA5_INTRO_INFO_2	"slp=parch4 bg=fcam4bg parchslpframe=18 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA5_INTRO_INFO_3	"slp=parch4 bg=fcam4bg parchslpframe=19 left=0.15 top=0.15 right=0.85 bottom=0.95"
SFORZA5_OUTRO_INFO_1	"slp=parch4 bg=fcam4bg parchslpframe=20 left=0.15 top=0.15 right=0.75 bottom=0.95"
ELDORADO1_INTRO_INFO_1	"slp=parch5 bg=fcam5bg parchslpframe=01 left=0.25 top=0.09 right=0.84 bottom=0.95"
ELDORADO1_INTRO_INFO_2	"slp=parch5 bg=fcam5bg parchslpframe=02 left=0.27 top=0.09 right=0.83 bottom=0.95"
ELDORADO1_INTRO_INFO_3	"slp=parch5 bg=fcam5bg parchslpframe=03 left=0.10 top=0.09 right=0.83 bottom=0.95"
ELDORADO1_OUTRO_INFO_1	"slp=parch5 bg=fcam5bg parchslpframe=04 left=0.10 top=0.09 right=0.83 bottom=0.95"
ELDORADO2_INTRO_INFO_1	"slp=parch5 bg=fcam5bg parchslpframe=05 left=0.10 top=0.09 right=0.55 bottom=0.95"
ELDORADO2_INTRO_INFO_2	"slp=parch5 bg=fcam5bg parchslpframe=06 left=0.10 top=0.09 right=0.73 bottom=0.95"
ELDORADO2_INTRO_INFO_3	"slp=parch5 bg=fcam5bg parchslpframe=07 left=0.10 top=0.29 right=0.67 bottom=0.95"
ELDORADO2_OUTRO_INFO_1	"slp=parch5 bg=fcam5bg parchslpframe=08 left=0.26 top=0.09 right=0.75 bottom=0.95"
ELDORADO3_INTRO_INFO_1	"slp=parch5 bg=fcam5bg parchslpframe=09 left=0.10 top=0.09 right=0.70 bottom=0.95"
ELDORADO3_INTRO_INFO_2	"slp=parch5 bg=fcam5bg parchslpframe=10 left=0.10 top=0.09 right=0.61 bottom=0.95"
ELDORADO3_INTRO_INFO_3	"slp=parch5 bg=fcam5bg parchslpframe=11 left=0.10 top=0.09 right=0.83 bottom=0.95"
ELDORADO3_OUTRO_INFO_1	"slp=parch5 bg=fcam5bg parchslpframe=12 left=0.10 top=0.09 right=0.83 bottom=0.95"
ELDORADO4_INTRO_INFO_1	"slp=parch5 bg=fcam5bg parchslpframe=13 left=0.10 top=0.09 right=0.83 bottom=0.95"
ELDORADO4_INTRO_INFO_2	"slp=parch5 bg=fcam5bg parchslpframe=14 left=0.18 top=0.09 right=0.83 bottom=0.95"
ELDORADO4_INTRO_INFO_3	"slp=parch5 bg=fcam5bg parchslpframe=15 left=0.10 top=0.09 right=0.62 bottom=0.95"
ELDORADO4_OUTRO_INFO_1	"slp=parch5 bg=fcam5bg parchslpframe=16 left=0.10 top=0.09 right=0.83 bottom=0.95"
INDIA1_INTRO_INFO_1	"slp=parch6 bg=fcam6bg parchslpframe=01 left=0.25 top=0.15 right=0.85 bottom=0.95"
